"","pri2","pri23","pri34","pri4","pos2","pos23","pos34","pos4","format2","format3","cred","info","priconfi","posconfi","negotiator","education","male","age","children","vulnerable","emerging","exporter","developed","emiter","mba"
"14",0.0540540540540541,0.27027027027027,0.405405405405405,0.27027027027027,0.272727272727273,0.227272727272727,0.227272727272727,0.272727272727273,0,0,5,5,5,3,1,"g",1,50,NA,0,0,0,1,0,0
"15",0.170212765957447,0.382978723404255,0.319148936170213,0.127659574468085,0.170212765957447,0.382978723404255,0.319148936170213,0.127659574468085,0,0,5,5,5,5,1,"e",1,24,0,0,1,0,0,0,0
"16",0.028169014084507,0.169014084507042,0.338028169014085,0.464788732394366,0.0298507462686567,0.164179104477612,0.328358208955224,0.477611940298507,0,0,NA,NA,NA,NA,1,"e",1,41,3,0,0,0,1,0,0
"17",0,0.25,0.75,0,0,0.25,0.75,0,0,0,4,6,5,5,0,"e",1,37,1,NA,NA,NA,NA,0,0
"18",0.154929577464789,0.28169014084507,0.422535211267606,0.140845070422535,0.144736842105263,0.302631578947368,0.394736842105263,0.157894736842105,0,0,5,5,4,4,0,"d",1,36,0,NA,NA,NA,NA,1,0
"19",0.0740740740740741,0.37037037037037,0.481481481481481,0.0740740740740741,0.04,0.52,0.4,0.04,0,0,5,4,5,6,0,"e",1,35,0,0,0,0,1,1,0
"20",0.0645161290322581,0.483870967741935,0.258064516129032,0.193548387096774,0.08,0.4,0.4,0.12,0,0,3,4,4,3,0,"e",1,32,0,0,0,0,1,1,0
"21",0.118421052631579,0.118421052631579,0.460526315789474,0.302631578947368,0.166666666666667,0.166666666666667,0.371794871794872,0.294871794871795,0,0,5,5,NA,NA,1,"e",1,43,1,0,1,0,0,0,0
"22",0.403225806451613,0.306451612903226,0.258064516129032,0.032258064516129,0.666666666666667,0.238095238095238,0.0952380952380952,0,0,0,3,5,6,6,1,"e",1,47,3,NA,NA,NA,NA,0,0
"23",0.447761194029851,0.298507462686567,0.17910447761194,0.0746268656716418,0.428571428571429,0.285714285714286,0.2,0.0857142857142857,0,0,4,5,5,4,1,"",0,30,NA,0,0,0,1,0,0
"24",0.0641025641025641,0.448717948717949,0.397435897435897,0.0897435897435897,0.0208333333333333,0.0625,0.3125,0.604166666666667,0,0,5,3,5,4,0,"e",1,38,0,0,0,0,1,1,0
