,pri2,pri23,pri34,pri4,pos2,pos23,pos34,pos4,format2,format3,cred,info,priconfi,posconfi,negotiator,education,male,age,children,vulnerable,emerging,exporter,developed,emiter,mba
264,0.3,0.75,0.15,0,0.2,0.75,0.1,0.1,1,0,4,5,4,5,0,d,0,25,0,NA,NA,NA,NA,NA,1
265,0.12,0.92,0.27,0.17,0.1,0.86,0.62,0.17,1,0,5,6,5,6,0,e,1,23,0,0,1,0,0,0,1
266,0.45,0.8,0.2,0.05,0.25,0.8,0.2,0.15,1,0,4,5,5,5,0,e,1,23,0,0,1,0,0,0,1
267,0.12,0.26,0.51,0.77,0.03,0.32,0.77,0.23,1,0,7,3,6,7,0,e,0,28,0,0,0,1,0,0,1
268,0.2,0.5,0.75,0.6,0.04,0.64,0.9,0.5,1,0,5,4,3,4,0,,0,27,0,NA,NA,NA,NA,NA,1
269,0.7,0.75,0.8,0.8,0.6,0.8,0.9,0.9,1,0,4,5,2,4,0,d,1,25,0,0,1,1,0,0,1
270,0.275,0.94,0.675,0.275,0.12,0.86,0.83,0.12,1,0,4,5,4,5,0,e,0,24,0,NA,NA,NA,NA,NA,1
271,0.35,0.5,0.5,0.2,0.35,0.7,0.6,0.45,1,0,5,4,6,7,0,d,0,26,0,NA,NA,NA,NA,NA,1
272,0.12,0.37,0.5,0.75,0.1,0.45,0.84,0,1,0,7,6,2,3,0,d,0,25,0,NA,NA,NA,NA,NA,1
273,0,0.1,0.5,0.8,0.5,0.5,0.5,0.5,1,0,2,1,5,2,0,d,0,23,0,1,1,0,0,0,1
274,0.3,0.9,0.6,0.25,0.2,1,0.8,0.15,1,0,5,2,5,6,0,e,0,23,0,NA,NA,NA,NA,NA,1
275,0.22,0.63,0.87,1,0.13,0.63,0.89,0.98,1,0,4,5,5,5,0,d,1,24,0,1,1,0,0,0,1
276,0.65,0.1,0.1,0,0.1,0.5,0.5,0.9,1,0,4,5,4,3,0,d,1,27,0,0,0,0,1,1,1
277,0.25,0,0.65,0.3,0.2,0.75,0.75,0.2,1,0,3,5,3,5,0,e,0,25,0,1,0,0,0,0,1
278,0.27,0.95,0.15,0.05,0.2,0.95,0.75,0.25,1,0,4,6,4,5,0,d,0,23,0,0,1,0,1,0,1
279,0.45,0.6,0.4,0.2,0.55,0.95,0.7,0.15,1,0,5,4,3,3,0,d,0,24,0,0,0,1,1,1,1
280,0.66,0.3,0.05,0,0.6,0.35,0.05,0,1,0,5,5,6,6,0,d,1,23,0,1,1,0,0,0,1
281,0.35,0.4,0.15,0.1,0.35,0.4,0.15,0.1,1,0,4,4,5,5,0,d,1,24,0,1,0,0,0,0,1
282,0.18,0.74,0.03,0,0.05,0.5,0.5,0.05,1,0,2,6,6,6,0,e,1,23,0,NA,NA,NA,NA,NA,1
283,0,0.75,0.65,0.25,0.01,0.75,0.7,0.3,1,0,6,4,5,5,0,d,1,23,0,1,0,0,0,0,1
284,0.4,0.6,0.15,0.05,0.2,0.3,0.5,0.75,1,0,4,4,6,6,0,e,0,25,0,NA,NA,NA,NA,NA,1
285,0.1,0.35,0.75,0.08,0.05,0.75,0.75,0.12,1,0,7,5,4,5,0,d,0,25,0,NA,NA,NA,NA,NA,1
286,0.25,0.75,0.75,0.25,0.3,0.75,0.85,0.05,1,0,4,6,3,5,0,d,1,24,NA,0,1,1,0,0,1
287,0.1,0.5,0.5,0.15,0.15,0.75,0.55,0.1,1,0,5,6,5,5,0,d,0,24,0,0,1,1,0,0,1
288,0.7,0.45,0.2,0.05,0.3,0.6,0.55,0.1,1,0,6,6,4,4,0,e,0,3,0,NA,NA,NA,NA,NA,1
289,0.08,0.8,0.1,0.02,0.03,0.65,0.25,0.05,1,0,7,5,4,5,0,d,1,23,0,NA,NA,NA,NA,NA,1
290,0.05,0.85,0.85,0.5,0.25,0.9,0.9,0.45,1,0,2,4,6,6,0,d,1,24,0,NA,NA,NA,NA,NA,1
291,0.2,0.25,0.3,0.75,0.05,0.1,0.4,0.85,1,0,4,4,4,4,0,d,0,23,0,1,0,0,0,0,1
292,0.18,0.55,0.4,0.05,0.08,0.73,0.64,0.08,1,0,3,6,5,6,0,d,1,24,0,0,0,1,0,0,1
293,0.15,0.25,0.4,0.2,0.05,0.45,0.45,0.05,0,1,6,7,5,6,0,e,1,31,0,NA,NA,NA,NA,NA,1
294,0.25,0.77,0.5,0.25,0.2,0.75,0.6,0.2,0,1,4,4,4,4,0,d,0,24,0,0,1,1,0,1,1
295,0,0.55,0.35,0.1,0,0.45,0.45,0.1,0,1,6,5,5,5,0,d,0,23,0,0,1,0,0,0,1
296,0.27,0.9,0.27,0.15,0.27,0.76,0.77,0.25,0,1,7,6,1,4,0,e,0,24,0,0,0,1,0,0,1
297,0.03,0.6,0.9,0.15,0.03,0.95,0.05,0.05,0,1,5,6,6,6,0,e,1,26,0,0,0,1,0,0,1
298,0.35,0.5,0.65,0.6,0.15,0.4,0.55,0.2,0,1,6,5,3,3,0,d,0,24,0,0,0,0,1,0,1
299,0.05,0.72,0.67,0.25,0.02,0.9,0.67,0.02,0,1,2,6,5,6,0,d,1,24,0,0,0,1,1,1,1
300,0.35,0.65,0.25,0.2,0.45,0.65,0.65,0.45,0,1,5,4,3,3,0,d,0,24,0,0,0,1,1,1,1
301,0.1,0.6,0.06,0.45,0.07,0.6,0.6,0.25,0,1,6,6,2,4,0,d,0,24,0,NA,NA,NA,NA,NA,1
302,0.1,0.25,0.6,0.85,0,0.35,0.7,0.1,0,1,3,3,2,1,0,d,0,23,0,NA,NA,NA,NA,NA,1
303,0.02,0.5,0.25,0.25,0.02,0.32,0.32,0.32,0,1,5,4,2,3,0,g,0,0,0,NA,NA,NA,NA,NA,1
304,0.2,0.3,0.7,0.3,0.05,0.5,0.5,0.1,0,1,5,7,5,6,0,d,1,21,0,1,0,0,0,0,1
305,0.75,0.65,0.5,0.4,0.4,0.6,0.8,0.8,0,1,5,5,4,5,0,e,0,24,0,0,1,0,0,0,1
306,0,0,0.27,0.67,0,0.1,0.65,0.5,0,1,6,5,5,6,0,d,1,24,NA,0,1,0,0,0,1
307,0,0.9,0.75,0.5,0.05,0.9,0.9,0.1,0,1,6,7,4,5,0,d,0,24,0,0,1,0,0,0,1
308,0.13,0.37,0.87,0.27,0.07,0.43,0.82,0.33,0,1,3,4,2,3,0,d,0,26,0,0,1,1,0,1,1
309,0.32,0.72,0.52,0.22,0.57,0.77,0.67,0.23,0,1,6,6,4,3,0,d,0,24,0,0,0,0,0,1,1
310,0,0.65,0.5,0.35,0,0.6,0.55,0.15,0,1,4,1,5,4,0,d,1,22,0,0,1,1,0,0,1
311,0,0.5,0.05,0.5,0,0.5,0.75,0.5,0,1,1,1,5,5,0,d,0,22,0,0,1,0,0,0,1
312,0.4,0.7,0.4,0.15,0.05,0.5,0.5,0.05,0,1,6,6,5,5,0,d,1,23,0,0,1,0,0,0,1
313,0.2,0.5,0.2,0.1,0.1,0.4,0.35,0.15,0,1,7,6,5,6,0,d,1,24,0,0,1,0,1,0,1
314,0.15,0.55,0.25,0.05,0.15,0.55,0.05,0.05,0,1,3,2,6,6,0,d,1,24,0,0,0,0,0,1,1
315,0.02,0.75,0.3,0.1,0.03,0.5,0.5,0.1,0,1,6,6,6,6,0,g,0,43,2,0,1,0,1,1,1
316,0.3,0.5,0.15,0.05,0.15,0.5,0.3,0.05,0,1,5,6,3,4,0,d,0,28,0,0,0,1,1,1,1
317,0.15,0.7,0,0.05,0.15,0.7,0.1,0.05,0,1,4,3,5,6,0,g,1,46,NA,NA,NA,NA,NA,NA,1
318,0.1,0.35,0.8,0.2,0,0.25,0.65,0.4,0,1,6,5,5,4,0,e,0,22,0,NA,NA,NA,NA,NA,1
319,0.27,0.62,0.87,0.27,0.07,0.87,0.73,0.18,0,1,NA,5,5,6,0,e,0,24,0,NA,NA,NA,NA,NA,1
320,0.47,0.47,0.03,0.03,0.32,0.32,0.32,0.03,0,1,3,4,5,3,0,d,0,23,0,0,1,1,0,1,1
321,0.38,0.53,0.66,0.83,0.65,0.75,0.85,0.95,0,1,3,5,5,2,0,d,0,24,0,0,0,0,1,0,1
322,0.05,0.3,0.5,0.15,0.05,0.5,0.04,0.05,0,1,NA,7,3,4,0,d,1,23,0,0,0,0,1,0,1
323,0.1,0.65,0.75,0.2,0.03,0.75,0.6,0.2,0,1,6,5,3,4,0,d,0,5,0,0,0,1,1,0,1
324,0.07,0.18,0.33,0.33,0.03,0.1,0.47,0.47,0,1,4,3,3,5,0,d,1,23,0,NA,NA,NA,NA,NA,1
325,0.03,0.18,0.83,0.73,0.03,0.5,0.5,0.17,0,1,6,6,6,4,0,d,0,28,1,1,0,0,0,0,1
326,0.08,0.64,0.69,0.6,0.03,0.7,0.6,0.1,0,1,4,2,4,5,0,d,1,23,0,0,0,0,0,1,1
327,0.5,0.7,0.65,0.55,0.6,0.82,0.9,0.05,0,1,3,4,3,4,0,e,0,24,NA,NA,NA,NA,NA,NA,1
328,0.25,0.75,0.45,0.2,0.15,0.75,0.5,0.2,0,1,4,6,3,4,0,d,0,25,0,0,0,0,1,1,1
329,0.1,0.6,0.15,0.15,0.05,0.05,0.45,0.05,0,1,6,5,3,6,0,d,0,25,0,0,0,0,1,0,1
330,0.25,0.8,0.35,0.3,0.25,0.85,0.4,0.3,0,1,5,6,5,5,0,g,1,47,2,NA,NA,NA,NA,NA,1
331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,0,NA,NA,NA,NA,NA,NA,NA,1
